app - INFO - Microblog startup
werkzeug - INFO -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:50:02] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:50:12] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:50:22] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:50:32] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:50:32] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:50:42] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:50:52] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:51:02] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:51:12] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:51:22] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:51:32] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:51:32] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:51:42] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:51:48] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:51:52] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:52:02] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:52:12] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:52:22] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:52:32] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:52:32] "GET /notifications?since=0 HTTP/1.1" 200 -
